2016-09-29 23:18:12 Round: 1
	avg_PRR: 0.875087719298	stdev: 0.226953813013
	isolated: 19
	avg_prnt_set_size: 2.69387755102	stdev: 1.64383922985
	shortcut_count: 22
	shortcut_ratio: 0.282051282051

	node	PRR	prnt_size
	69	1.0	4.0
	70	1.0	3.0
	71	1.0	2.0
	72	1.0	1.0
	73	0.0	0.0
	74	1.0	3.0
	75	0.4	1.0
	76	0.4	2.0
	77	1.0	2.0
	78	1.0	3.0
	79	0.5	1.0
	80	1.0	5.0
	81	1.0	2.0
	82	1.0	3.0
	83	1.0	1.0
	84	0.5	1.0
	85	1.0	2.0
	115	1.0	3.0
	116	1.0	4.0
	117	1.0	1.0
	118	1.0	4.0
	119	1.0	5.0
	120	0.0	0.0
	121	1.0	3.0
	122	0.4	4.0
	123	0.4	4.0
	124	1.0	5.0
	126	0.5	1.0
	127	1.0	1.0
	128	1.0	3.0
	129	1.0	4.0
	130	1.0	3.0
	131	0.5	1.0
	132	1.0	5.0
	133	1.0	5.0
	134	0.0	0.0
	135	1.0	1.0
	136	0.666666666667	4.0
	137	0.4	5.0
	138	1.0	2.0

2016-09-29 23:33:16 Round: 4
	avg_PRR: 0.892962962963	stdev: 0.216281392181
	isolated: 26
	avg_prnt_set_size: 2.39795918367	stdev: 1.60826815156
	shortcut_count: 36
	shortcut_ratio: 0.507042253521

	node	PRR	prnt_size
	2	1.0	2.0
	3	1.0	4.0
	4	0.5	2.0
	5	1.0	2.0
	6	1.0	2.0
	7	1.0	4.0
	8	1.0	2.0
	9	0.5	2.0
	10	1.0	1.0
	11	1.0	5.0
	12	1.0	1.0
	13	1.0	1.0
	14	1.0	2.0
	15	0.4	4.0
	17	1.0	4.0
	18	0.666666666667	2.0
	19	0.5	5.0
	20	1.0	1.0
	21	0.0	0.0
	24	1.0	1.0
	25	1.0	1.0
	26	1.0	1.0
	27	1.0	1.0
	28	1.0	2.0
	30	0.0	0.0
	31	0.0	0.0
	32	0.5	1.0
	33	0.5	1.0
	34	1.0	5.0
	35	0.0	0.0
	36	1.0	4.0
	37	1.0	4.0
	38	1.0	4.0
	39	1.0	5.0
	40	1.0	3.0
	41	1.0	4.0
	42	0.4	4.0
	43	1.0	2.0
	44	1.0	2.0
	45	1.0	1.0
	46	1.0	1.0
	47	1.0	5.0
	48	1.0	5.0
	50	1.0	4.0
	51	0.5	5.0
	52	1.0	1.0
	54	1.0	5.0
	57	1.0	1.0
	58	1.0	1.0
	59	1.0	1.0
	60	1.0	1.0
	63	1.0	3.0
	64	1.0	1.0
	65	0.5	5.0
	66	0.4	3.0
	67	1.0	1.0
	68	0.0	0.0
	69	1.0	4.0
	70	0.4	3.0
	71	1.0	2.0
	72	1.0	1.0
	73	1.0	4.0
	74	1.0	3.0
	75	1.0	1.0
	76	1.0	2.0
	77	1.0	2.0
	78	1.0	3.0
	79	0.4	1.0
	80	0.5	5.0
	81	1.0	2.0
	82	0.0	0.0
	83	1.0	1.0
	84	1.0	1.0
	85	1.0	2.0
	115	0.0	0.0
	116	1.0	4.0
	117	0.4	1.0
	118	1.0	4.0
	119	1.0	4.0
	120	1.0	3.0
	121	1.0	3.0
	122	1.0	4.0
	123	1.0	4.0
	124	1.0	5.0
	126	0.4	1.0
	127	0.4	1.0
	128	1.0	3.0
	129	0.0	0.0
	130	1.0	3.0
	131	1.0	1.0
	132	1.0	5.0
	133	1.0	4.0
	134	1.0	1.0
	135	1.0	1.0
	136	0.5	4.0
	137	1.0	5.0
	138	1.0	2.0

2016-09-29 23:38:17 Round: 5
	avg_PRR: 0.88275862069	stdev: 0.220058164201
	isolated: 16
	avg_prnt_set_size: 2.33673469388	stdev: 1.64716130303
	shortcut_count: 26
	shortcut_ratio: 0.320987654321

	node	PRR	prnt_size
	2	0.0	0.0
	3	1.0	4.0
	4	1.0	2.0
	5	0.5	2.0
	6	1.0	2.0
	7	1.0	3.0
	8	0.0	0.0
	9	1.0	2.0
	10	1.0	1.0
	11	1.0	5.0
	12	1.0	1.0
	13	0.0	0.0
	14	0.5	2.0
	15	1.0	4.0
	17	1.0	4.0
	18	0.666666666667	2.0
	19	1.0	5.0
	20	1.0	1.0
	21	1.0	1.0
	24	1.0	1.0
	25	1.0	1.0
	26	1.0	1.0
	27	0.0	0.0
	28	0.4	2.0
	30	1.0	1.0
	31	0.0	0.0
	32	0.666666666667	1.0
	33	1.0	1.0
	34	1.0	5.0
	35	1.0	1.0
	36	1.0	4.0
	37	0.5	4.0
	38	0.5	4.0
	39	1.0	5.0
	40	1.0	3.0
	41	0.0	0.0
	42	1.0	4.0
	43	1.0	2.0
	44	1.0	2.0
	45	1.0	1.0
	46	0.0	0.0
	47	1.0	5.0
	48	0.333333333333	5.0
	50	1.0	4.0
	51	1.0	5.0
	52	0.5	1.0
	54	1.0	5.0
	57	1.0	1.0
	58	1.0	1.0
	59	1.0	1.0
	60	0.0	0.0
	63	1.0	3.0
	64	1.0	1.0
	65	0.5	5.0
	66	1.0	3.0
	67	1.0	1.0
	68	1.0	1.0
	69	1.0	4.0
	70	0.4	3.0
	71	1.0	2.0
	72	1.0	1.0
	73	1.0	4.0
	74	0.0	0.0
	75	1.0	1.0
	76	1.0	2.0
	77	1.0	2.0
	78	1.0	3.0
	79	0.666666666667	1.0
	80	1.0	5.0
	81	1.0	2.0
	82	1.0	3.0
	83	1.0	1.0
	84	0.5	1.0
	85	0.4	2.0
	115	1.0	3.0
	116	1.0	4.0
	117	0.4	1.0
	118	1.0	4.0
	119	1.0	4.0
	120	1.0	3.0
	121	0.0	0.0
	122	0.4	4.0
	123	1.0	4.0
	124	1.0	5.0
	126	0.666666666667	1.0
	127	1.0	1.0
	128	1.0	3.0
	129	1.0	4.0
